Station ID,Station Name,Lat,Lon,Number of Trips
HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,1646
HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.735938,-74.030305,15
HB102,Hoboken Terminal - River St & Hudson Pl,40.7360676564825,-74.02912706136703,2133
HB102,Hoboken Terminal - River St & Hudson Pl,40.736068,-74.029127,16
HB103,South Waterfront Walkway - Sinatra Dr & 1 St,40.736982,-74.027781,19
HB103,South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156,1232
HB105,City Hall - Washington St & 1 St,40.73736,-74.03097,1258
HB201,12 St & Sinatra Dr N,40.750604,-74.02402,6
HB201,12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268,630
HB202,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,678
HB202,14 St Ferry - 14 St & Shipyard Ln,40.752961,-74.024353,6
HB203,Bloomfield St & 15 St,40.75453,-74.02658,468
HB301,4 St & Grand St,40.7422579775645,-74.03511106967926,550
HB302,6 St & Grand St,40.7443978330956,-74.03450086712837,557
HB302,6 St & Grand St,40.744398,-74.034501,1
HB303,Clinton St & 7 St,40.74542,-74.03332,541
HB304,7 St & Monroe St,40.74641264837719,-74.03797701001167,578
HB304,7 St & Monroe St,40.746413,-74.037977,2
HB305,9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209,542
HB401,Southwest Park - Jackson St & Observer Hwy,40.737551,-74.041664,3
HB401,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,389
HB402,Madison St & 1 St,40.73879,-74.0393,779
HB404,Mama Johnson Field - 4 St & Jackson St,40.74313993965626,-74.04004096984863,266
HB404,Mama Johnson Field - 4 St & Jackson St,40.74314,-74.040041,1
HB407,Adams St & 2 St,40.73981372311843,-74.03690412640572,560
HB407,Adams St & 2 St,40.739814,-74.036904,1
HB408,Marshall St & 2 St,40.740802,-74.042521,375
HB409,Clinton St & Newark St,40.73743,-74.03571,620
HB501,Columbus Park - Clinton St & 9 St,40.748161,-74.032453,1
HB501,Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455,432
HB502,11 St & Washington St,40.74998490907138,-74.02715027332306,1037
HB502,11 St & Washington St,40.749985,-74.02715,4
HB503,Madison St & 10 St,40.74994325412246,-74.03586477041245,433
HB505,Willow Ave & 12 St,40.751867,-74.030377,1
HB505,Willow Ave & 12 St,40.7518674823282,-74.03037697076797,456
HB506,Grand St & 14 St,40.75409,-74.0316,709
HB507,Adams St & 11 St,40.750915534784994,-74.03354063630104,291
HB507,Adams St & 11 St,40.750916,-74.033541,1
HB601,Church Sq Park - 5 St & Park Ave,40.742659,-74.032233,3
HB601,Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628,652
HB603,8 St & Washington St,40.74598388291562,-74.02819901704788,1055
HB603,8 St & Washington St,40.745984,-74.028199,2
HB607,Hudson St & 4 St,40.74097260864355,-74.02860336005688,760
HB607,Hudson St & 4 St,40.740973,-74.028603,3
JC002,Paulus Hook,40.714145,-74.033552,20
JC002,Paulus Hook,40.7141454,-74.0335519,496
JC003,City Hall,40.7177325,-74.043845,783
JC003,City Hall,40.717733,-74.043845,1
JC005,Grove St PATH,40.719586,-74.043117,1
JC005,Grove St PATH,40.71958611647166,-74.04311746358871,2360
JC006,Warren St,40.7211236,-74.03805095,779
JC006,Warren St,40.721124,-74.038051,3
JC008,Newport Pkwy,40.7287448,-74.0321082,1209
JC008,Newport Pkwy,40.728745,-74.032108,5
JC009,Hamilton Park,40.727595966,-74.044247311,1286
JC009,Hamilton Park,40.727596,-74.044247,8
JC011,JC Medical Center,40.71653978099194,-74.0496379137039,450
JC011,JC Medical Center,40.71654,-74.049638,7
JC013,Marin Light Rail,40.714584,-74.042817,1
JC013,Marin Light Rail,40.71458403535893,-74.04281705617905,1089
JC014,Columbus Drive,40.718355,-74.038914,3
JC014,Columbus Drive,40.71835519823214,-74.03891444206238,602
JC018,5 Corners Library,40.73496102000952,-74.0595030784607,125
JC019,Hilltop,40.7311689,-74.0575736,333
JC019,Hilltop,40.731169,-74.057574,4
JC020,Baldwin at Montgomery,40.7236589,-74.0641943,545
JC020,Baldwin at Montgomery,40.723659,-74.064194,4
JC022,Oakland Ave,40.7376037,-74.0524783,336
JC022,Oakland Ave,40.737604,-74.052478,1
JC023,Brunswick St,40.7241765,-74.0506564,555
JC023,Brunswick St,40.724177,-74.050656,2
JC024,Pershing Field,40.742677,-74.051789,2
JC024,Pershing Field,40.742677141,-74.051788633,407
JC027,Jersey & 6th St,40.725289,-74.045572,5
JC027,Jersey & 6th St,40.72528910781132,-74.04557168483734,367
JC032,Newark Ave,40.721525,-74.046305,9
JC032,Newark Ave,40.72152515,-74.046304543,666
JC034,Christ Hospital,40.734785818,-74.050443636,334
JC035,Van Vorst Park,40.71848892,-74.047726625,509
JC035,Van Vorst Park,40.718489,-74.047727,4
JC038,Essex Light Rail,40.712774,-74.036486,3
JC038,Essex Light Rail,40.7127742,-74.0364857,295
JC051,Union St,40.7182113,-74.0836394,115
JC052,Liberty Light Rail,40.711242,-74.055701,30
JC052,Liberty Light Rail,40.7112423,-74.0557013,634
JC053,Lincoln Park,40.7246050998869,-74.07840594649315,224
JC055,McGinley Square,40.7253399253558,-74.06762212514877,653
JC055,McGinley Square,40.72534,-74.067622,1
JC056,Sip Ave,40.730897,-74.063913,1
JC056,Sip Ave,40.73089709786179,-74.06391263008118,1671
JC057,Riverview Park,40.7443187,-74.0439909,307
JC057,Riverview Park,40.744319,-74.043991,1
JC059,Heights Elevator,40.74871594538023,-74.04044330120087,248
JC063,Jackson Square,40.71113,-74.0789,59
JC065,Dey St,40.737711,-74.066921,98
JC066,Newport PATH,40.7272235,-74.0337589,1298
JC066,Newport PATH,40.727224,-74.033759,5
JC072,Morris Canal,40.7124188237569,-74.03852552175522,615
JC072,Morris Canal,40.712419,-74.038526,13
JC074,Jersey & 3rd,40.72333158646436,-74.04595255851744,452
JC074,Jersey & 3rd,40.723332,-74.045953,1
JC075,Monmouth and 6th,40.725685,-74.04879,2
JC075,Monmouth and 6th,40.72568548362901,-74.04879033565521,378
JC076,Dixon Mills,40.72163,-74.049968,7
JC076,Dixon Mills,40.721630142638354,-74.04996782541275,426
