Station ID,Station Name,Lat,Lon,Number of Trips
2733.03,67 St & Erik Pl,40.633385,-74.016562,140
2782.02,5 Ave & 66 St,40.635679,-74.020005,101
2832.03,4 Ave & Shore Road Dr,40.637033,-74.022141,206
2872.02,63 St & 5 Ave,40.63766,-74.01782,75
2883.03,3 Ave & Wakeman Pl,40.638246,-74.024714,91
2912.08,6 Ave & 60 St,40.638196,-74.013821,147
2923.01,62 St & 4 Ave,40.639859,-74.019776,64
2932.01,67 St & Ridge Blvd,40.638799,-74.027472,209
2951.05,55 St & 7 Ave,40.639673,-74.008957,164
2961.05,59 St & 5 Ave,40.640125,-74.015726,117
2971.02,64 St & 3 Ave,40.639978,-74.02324,15
3000.08,6 Ave & 55 St,40.640831,-74.010996,79
3007.05,Church Ave & Story St,40.642031,-73.981073,122
3011.03,59 St & 4 Ave,40.641269,-74.017651,194
3019.02,65 St & 2 Ave,40.640493,-74.02564,19
3046.03,E 3 St & Church Ave,40.643817,-73.977433,181
3050.03,55 St & 5 Ave,40.642408,-74.013318,85
3056.05,12 Ave & 36 St,40.643546,-73.986418,211
3084.05,52 St & 6 Ave,40.642703,-74.009441,43
3090.06,Church Ave & McDonald Ave,40.642809,-73.979239,151
3093.07,57 St & 4 Ave,40.642622,-74.016866,141
3117.05,46 St & 7 Ave,40.644743,-74.003754,286
3125.09,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,370
3125.09,Ocean Pkwy & Church Ave,40.644719,-73.974515,2
3129.08,53 St & 5 Ave,40.643371,-74.011884,97
3135.04,Chester Ave & 12 Ave,40.644367,-73.984276,93
3138.09,58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,40.644512,-74.021506,153
3161.02,46 St & 6 Ave,40.645921,-74.005708,135
3166.03,Albemarle Rd & McDonald Ave,40.645074,-73.979681,209
3169.07,53 St & 4 Ave,40.644862,-74.014531,343
3178.02,57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,40.646377,-74.023087,92
3192.05,7 Ave & 41 St,40.647379,-74.000911,307
3199.01,Caton Ave & E 7 St,40.647718,-73.973663,198
3202.06,48 St & 5 Ave,40.646351,-74.009271,128
3208.07,Dahill Rd & 12 Ave,40.646037,-73.980963,229
3211.06,53 St & 2 Ave,40.64744,-74.018846,194
3220.01,58 St & Pier 4,40.646475,-74.026081,110
3230.01,Caton Ave & E 10 St,40.648481,-73.97058,200
3233.06,44 St & 6 Ave,40.647105,-74.004483,151
3240.15,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,343
3243.02,47 St & 3 Ave,40.649143,-74.012384,59
3253.01,52 St & 1 Ave,40.649292,-74.020105,48
3266.01,7 Ave & 40 St,40.648169,-74.000057,320
3272.01,E 8 St & Caton Ave,40.648055,-73.972432,212
3275.03,45 St & 4 Ave,40.649145,-74.009486,248
3280.04,Ft. Hamilton Pkwy & E 2 St,40.648005,-73.979342,269
3283.05,48 St & 2 Ave,40.650176,-74.015606,44
3303.01,Caton Ave & Argyle Rd,40.649681,-73.967829,310
3306.03,5 Ave & 41 St,40.649983,-74.005144,268
3312.07,Prospect Ave & Greenwood Ave,40.651745,-73.975988,107
3315.05,44 St & 3 Ave,40.651173,-74.011405,110
3344.02,Park Cir & East Dr,40.651566,-73.972212,846
3347.03,41 St & 4 Ave,40.651354,-74.007168,193
3353.04,Greenwood Ave & E 4 St,40.650739,-73.977739,158
3356.05,44 St & 2 Ave,40.652502,-74.013587,27
3376.02,Parade Pl & Crooke Ave,40.651847,-73.965248,1262
3379.03,5 Ave & 37 St,40.652657,-74.002356,166
3385.06,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,447
3388.02,41 St & 3 Ave,40.652512,-74.008906,28
3394.03,McDonald Ave & Vanderbilt St,40.651654,-73.981231,100
3420.01,36 St & 4 Ave,40.654144,-74.00422,420
3426.02,Prospect Ave & Vanderbilt St,40.653368,-73.976291,169
3428.02,42 St & 1 Ave,40.654798,-74.014372,85
3451.01,34 St & 5 Ave,40.654098,-74.001131,85
3457.03,Prospect Park SW & Vanderbilt St,40.65482,-73.973217,433
3460.01,2 Ave & 36 St,40.65708866668485,-74.00870203971863,175
3460.01,2 Ave & 36 St,40.657089,-74.008702,2
3460.02,36 St & 3 Ave,40.655716,-74.006664,377
3460.04,2 Av & 37 St,40.656326,-74.009627,64
3492.04,34 St & 4 Ave,40.655278,-74.003101,126
3498.09,Prospect Park SW & 16 St,40.657265,-73.974165,459
3501.01,39 St & 2 Ave,40.65539977447831,-74.01062786579132,59
3507.04,Prospect Park W & 20 St,40.656633,-73.983864,397
3515.01,7 Ave & 22 St,40.658029,-73.989605,190
3523.06,29 St & 5 Ave,40.656986,-73.998194,114
3532.02,2 Ave & 32 St,40.659176,-74.006584,78
3538.09,11 Ave & Prospect Ave,40.65629,-73.977335,493
3547.04,19 St & 8 Ave,40.658489,-73.985543,159
3555.04,24 St & 5 Ave,40.659555,-73.995068,281
3564.04,30 St & 4 Ave,40.657743,-74.001141,243
3579.04,Windsor Pl & Howard Pl,40.65949055893896,-73.98013919591904,621
3579.04,Windsor Pl & Howard Pl,40.659491,-73.980139,2
3588.01,7 Ave & 20 St,40.659053,-73.98854,414
3596.04,4 Ave & 26 St,40.660079,-73.998633,304
3611.02,Prospect Park SW & 10 Ave,40.659945,-73.977504,688
3620.02,Windsor Pl & 8 Ave,40.660906,-73.983074,520
3628.11,6 Ave & 21 St,40.66016,-73.990974,757
3651.04,West Drive & Prospect Park West,40.661063,-73.979453,35
3651.04,West Drive & Prospect Park West,40.6610633719006,-73.97945255041122,2589
3665.06,Sterling St & Bedford Ave,40.6627059,-73.9569115,541
3668.04,21 St & 4 Ave,40.662584,-73.995554,417
3696.05,Rogers Ave & Sterling St,40.6630619,-73.9538746,737
3696.05,Rogers Ave & Sterling St,40.663062,-73.953875,2
3699.07,17 St & 5 Ave,40.663493,-73.991007,752
3704.04,Flatbush Ave & Ocean Ave,40.663657,-73.963014,1334
3704.08,Sullivan Pl & Franklin Ave,40.66407983678161,-73.96025128666679,465
3704.08,Sullivan Pl & Franklin Ave,40.66408,-73.960251,1
3707.01,23 St & 3 Ave,40.662611,-73.998623,80
3722.04,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,1443
3722.04,Prospect Park West & 8 St,40.665147,-73.976376,13
3731.11,14 St & 7 Ave,40.663779,-73.98396846,1036
3731.11,14 St & 7 Ave,40.663779,-73.983968,2
3736.03,Bedford Ave & Montgomery St,40.665816,-73.956934,489
